Rank,Team,Accurate Crosses per Match,Cross Success (%),Matches,Country
1,Atalanta,5.9,31.7,38,ITA
2,Cagliari,5.9,26.2,38,ITA
3,Inter,5.7,26.7,38,ITA
4,Juventus,5.4,29.1,38,ITA
5,Torino,5.2,25.9,38,ITA
6,AC Milan,5.0,28.6,38,ITA
7,Hellas Verona,5.0,26.1,38,ITA
8,Roma,4.9,28.3,38,ITA
9,Fiorentina,4.9,24.9,38,ITA
10,Monza,4.8,31.3,38,ITA
11,Genoa,4.7,29.2,38,ITA
12,SSC Napoli,4.7,24.4,38,ITA
13,Lecce,4.3,25.1,38,ITA
14,Udinese,4.1,27.7,38,ITA
15,Empoli,4.1,23.2,38,ITA
16,Salernitana,3.6,23.2,38,ITA
17,Sassuolo,3.6,20.4,38,ITA
18,Frosinone,3.4,25.0,38,ITA
19,Lazio,3.3,20.0,38,ITA
20,Bologna,3.0,22.5,38,ITA
