Rank,Team,Big Chances Missed,Goals,Matches,Country
1,Juventus,63.0,54.0,38,ITA
2,Inter,61.0,89.0,38,ITA
3,Atalanta,59.0,72.0,38,ITA
4,SSC Napoli,59.0,55.0,38,ITA
5,Fiorentina,50.0,61.0,38,ITA
6,Lecce,48.0,32.0,38,ITA
7,Bologna,46.0,54.0,38,ITA
8,AC Milan,45.0,76.0,38,ITA
9,Frosinone,45.0,44.0,38,ITA
10,Udinese,43.0,37.0,38,ITA
11,Cagliari,42.0,42.0,38,ITA
12,Monza,42.0,39.0,38,ITA
13,Lazio,41.0,49.0,38,ITA
14,Hellas Verona,41.0,38.0,38,ITA
15,Roma,38.0,65.0,38,ITA
16,Torino,36.0,36.0,38,ITA
17,Genoa,32.0,45.0,38,ITA
18,Empoli,32.0,29.0,38,ITA
19,Sassuolo,28.0,43.0,38,ITA
20,Salernitana,24.0,32.0,38,ITA
