Rank,Team,Fouls per Match,Yellow Cards,Matches,Country
1,Hellas Verona,14.2,85.0,38,ITA
2,Empoli,13.8,87.0,38,ITA
3,Lecce,13.3,85.0,38,ITA
4,Udinese,13.1,88.0,38,ITA
5,Atalanta,12.8,73.0,38,ITA
6,Juventus,12.6,85.0,38,ITA
7,Lazio,12.4,97.0,38,ITA
8,Torino,12.4,73.0,38,ITA
9,Cagliari,12.2,72.0,38,ITA
10,Bologna,12.1,83.0,38,ITA
11,Fiorentina,12.1,80.0,38,ITA
11,Monza,12.1,80.0,38,ITA
13,Roma,12.0,93.0,38,ITA
14,Salernitana,11.8,89.0,38,ITA
15,Genoa,11.8,73.0,38,ITA
16,AC Milan,11.3,78.0,38,ITA
17,Inter,10.7,46.0,38,ITA
18,Sassuolo,10.2,68.0,38,ITA
19,Frosinone,10.2,66.0,38,ITA
20,SSC Napoli,10.0,71.0,38,ITA
