Rank,Team,Goals Conceded per Match,Total Goals Conceded,Matches,Country
1,Inter,0.6,22.0,38,ITA
2,Juventus,0.8,31.0,38,ITA
3,Bologna,0.8,32.0,38,ITA
4,Torino,0.9,36.0,38,ITA
5,Lazio,1.0,39.0,38,ITA
6,Atalanta,1.1,42.0,38,ITA
7,Genoa,1.2,45.0,38,ITA
8,Roma,1.2,46.0,38,ITA
8,Fiorentina,1.2,46.0,38,ITA
10,SSC Napoli,1.3,48.0,38,ITA
11,AC Milan,1.3,49.0,38,ITA
12,Monza,1.3,51.0,38,ITA
12,Hellas Verona,1.3,51.0,38,ITA
14,Udinese,1.4,53.0,38,ITA
15,Lecce,1.4,54.0,38,ITA
15,Empoli,1.4,54.0,38,ITA
17,Cagliari,1.8,68.0,38,ITA
18,Frosinone,1.8,69.0,38,ITA
19,Sassuolo,2.0,75.0,38,ITA
20,Salernitana,2.1,81.0,38,ITA
