Rank,Team,Shots on Target per Match,Shot Conversion Rate (%),Matches,Country
1,Inter,5.6,15.0,38,ITA
2,AC Milan,5.6,13.5,38,ITA
3,Atalanta,5.4,13.2,38,ITA
4,SSC Napoli,5.4,8.5,38,ITA
5,Fiorentina,4.8,11.7,38,ITA
6,Bologna,4.3,11.3,38,ITA
7,Frosinone,4.2,9.4,38,ITA
8,Roma,4.1,13.7,38,ITA
9,Juventus,4.1,10.1,38,ITA
10,Sassuolo,4.0,9.3,38,ITA
11,Hellas Verona,4.0,8.6,38,ITA
12,Lecce,4.0,6.3,38,ITA
13,Lazio,3.7,11.1,38,ITA
14,Udinese,3.7,8.0,38,ITA
15,Cagliari,3.6,9.4,38,ITA
16,Genoa,3.4,11.2,38,ITA
17,Monza,3.4,8.6,38,ITA
18,Torino,3.2,8.3,38,ITA
19,Salernitana,3.2,8.0,38,ITA
20,Empoli,3.1,6.9,38,ITA
