Rank,Player,Team,Goals Conceded per 90,Total Goals Conceded,Minutes,Matches,Country
1,Guillermo Ochoa,Salernitana,2.1,44.0,1890,21,MEX
2,Andrea Consigli,Sassuolo,1.9,68.0,3150,35,ITA
3,Stefano Turati,Frosinone,1.9,58.0,2745,31,ITA
4,Simone Scuffet,Cagliari,1.8,55.0,2789,31,ITA
5,Wladimiro Falcone,Lecce,1.4,54.0,3420,38,ITA
6,Lorenzo Montipo,Verona,1.3,49.0,3330,37,ITA
7,Alex Meret,Napoli,1.3,40.0,2774,31,ITA
8,Josep Martinez,Genoa,1.2,43.0,3239,36,ESP
9,Mike Maignan,Milan,1.2,34.0,2609,29,FRA
10,Elia Caprile,Empoli,1.2,27.0,2070,23,ITA
10,Rui Patricio,Roma,1.2,27.0,2070,23,POR
12,Maduka Okoye,Udinese,1.2,25.0,1890,21,NGA
13,Michele Di Gregorio,Monza,1.1,35.0,2874,33,ITA
13,Pietro Terracciano,Fiorentina,1.1,35.0,2970,33,ITA
15,Ivan Provedel,Lazio,1.1,33.0,2699,30,ITA
16,Marco Carnesecchi,Atalanta,1.1,30.0,2426,27,ITA
17,Vanja Milinkovic-Savic,Torino,0.9,31.0,3240,36,SRB
18,Wojciech Szczesny,Juventus,0.9,30.0,3150,35,POL
19,Lukasz Skorupski,Bologna,0.9,29.0,2880,32,POL
20,Yann Sommer,Internazionale,0.6,19.0,3060,34,SUI
