Rank,Player,Team,Saves per 90,Total Saves,Minutes,Matches,Country
1,Michele Di Gregorio,Monza,4.0,127.0,2874,33,ITA
2,Guillermo Ochoa,Salernitana,3.6,75.0,1890,21,MEX
3,Elia Caprile,Empoli,3.5,80.0,2070,23,ITA
4,Wladimiro Falcone,Lecce,3.3,125.0,3420,38,ITA
5,Stefano Turati,Frosinone,3.2,98.0,2745,31,ITA
6,Maduka Okoye,Udinese,3.1,65.0,1890,21,NGA
7,Mike Maignan,Milan,3.0,87.0,2609,29,FRA
8,Lorenzo Montipo,Verona,2.9,106.0,3330,37,ITA
9,Vanja Milinkovic-Savic,Torino,2.9,103.0,3240,36,SRB
10,Ivan Provedel,Lazio,2.9,86.0,2699,30,ITA
11,Marco Carnesecchi,Atalanta,2.9,79.0,2426,27,ITA
12,Pietro Terracciano,Fiorentina,2.8,92.0,2970,33,ITA
13,Andrea Consigli,Sassuolo,2.7,95.0,3150,35,ITA
14,Lukasz Skorupski,Bologna,2.5,80.0,2880,32,POL
15,Simone Scuffet,Cagliari,2.5,79.0,2789,31,ITA
16,Josep Martinez,Genoa,2.4,88.0,3239,36,ESP
17,Yann Sommer,Internazionale,2.4,80.0,3060,34,SUI
18,Wojciech Szczesny,Juventus,2.3,81.0,3150,35,POL
19,Alex Meret,Napoli,2.1,64.0,2774,31,ITA
20,Rui Patricio,Roma,2.1,49.0,2070,23,POR
