Rank,Team,Red Cards,Yellow Cards,Matches,Country
1,AC Milan,8.0,78.0,38,ITA
2,Hellas Verona,6.0,85.0,38,ITA
3,Lazio,5.0,97.0,38,ITA
4,Udinese,5.0,88.0,38,ITA
5,Lecce,5.0,85.0,38,ITA
6,Monza,5.0,80.0,38,ITA
7,Cagliari,5.0,72.0,38,ITA
8,SSC Napoli,5.0,71.0,38,ITA
9,Sassuolo,4.0,68.0,38,ITA
10,Roma,3.0,93.0,38,ITA
11,Salernitana,3.0,89.0,38,ITA
12,Genoa,3.0,73.0,38,ITA
13,Juventus,2.0,85.0,38,ITA
14,Bologna,2.0,83.0,38,ITA
15,Torino,2.0,73.0,38,ITA
16,Frosinone,2.0,66.0,38,ITA
17,Empoli,1.0,87.0,38,ITA
18,Atalanta,1.0,73.0,38,ITA
19,Inter,1.0,46.0,38,ITA
