Rank,Team,Yellow Cards,Red Cards,Matches,Country
1,Lazio,97.0,5.0,38,ITA
2,Roma,93.0,3.0,38,ITA
3,Salernitana,89.0,3.0,38,ITA
4,Udinese,88.0,5.0,38,ITA
5,Empoli,87.0,1.0,38,ITA
6,Hellas Verona,85.0,6.0,38,ITA
7,Lecce,85.0,5.0,38,ITA
8,Juventus,85.0,2.0,38,ITA
9,Bologna,83.0,2.0,38,ITA
10,Monza,80.0,5.0,38,ITA
11,Fiorentina,80.0,0.0,38,ITA
12,AC Milan,78.0,8.0,38,ITA
13,Genoa,73.0,3.0,38,ITA
14,Torino,73.0,2.0,38,ITA
15,Atalanta,73.0,1.0,38,ITA
16,Cagliari,72.0,5.0,38,ITA
17,SSC Napoli,71.0,5.0,38,ITA
18,Sassuolo,68.0,4.0,38,ITA
19,Frosinone,66.0,2.0,38,ITA
20,Inter,46.0,1.0,38,ITA
